Buenos Aires;1
La Plata;1
Mar del Plata;1
Bahia Blanca;1
San Nicolas de los Arroyos;1
San Fernando del Valle de Catamarca;2
Belen;2
Recreo;2
Santa Maria;2
Tinogasta;2
Resistencia;3
Presidencia Roque Saenz Peña;3
Villa Angela;3
Charata;3
Las Breñas;3
Comodoro Rivadavia;4
Puerto Madryn;4
Trelew;4
Rawson;4
Esquel;4
Corrientes;6
Goya;6
Mercedes;6
Curuzu Cuatia;6
Paso de los Libres;6
Formosa;8
Clorinda;8
Pirane;8
El Colorado;8
Ibarreta;8
San Salvador de Jujuy;9
San Pedro;9
Perico;9
Palpala;9
El Carmen;9
Santa Rosa;10
General Pico;10
Toay;10
Realico;10
Intendente Alvear;10
La Rioja;11
Chilecito;11
Aimogasta;11
Chamical;11
Chepes;11
Mendoza;12
San Rafael;12
Godoy Cruz;12
Las Heras;12
Maipu;12
Posadas;13
Obera;13
Eldorado;13
Puerto Iguazu;13
Leandro N. Alem;13
Salta;16
San Ramon de la Nueva Oran;16
Tartagal;16
General Güemes;16
Metan;16
San Juan;17
Rawson;17
Chimbas;17
Rivadavia;17
Santa Lucia;17
San Luis;18
Villa Mercedes;18
Merlo;18
La Punta;18
Juana Koslay;18
Rio Gallegos;19
Caleta Olivia;19
Pico Truncado;19
Las Heras;19
Puerto Deseado;19
Santa Fe;20
Rosario;20
Rafaela;20
Venado Tuerto;20
Reconquista;20
Santiago del Estero;21
La Banda;21
Fernandez;21
Termas de Rio Hondo;21
Añatuya;21
Ushuaia;22
Rio Grande;22
Tolhuin;22
Puerto Almanza;22
Puerto Harberton;22
Cordoba;24
Villa Maria;24
Rio Cuarto;24
San Francisco;24
Carlos Paz;24
Parana;25
Concordia;25
Gualeguaychu;25
Concepcion del Uruguay;25
Villaguay;25
Neuquen;26
San Martin de los Andes;26
Zapala;26
Cutral Co;26
Plottier;26
San Carlos de Bariloche;27
General Roca;27
Viedma;27
Cipolletti;27
Villa Regina;27
San Miguel de Tucuman;28
Yerba Buena;28
Concepcion;28
Tafi Viejo;28
Bella Vista;28
